rule_id,statement_id,section,page_hint,rule_class,direction,target_treatment,decision_scope,condition_text,level_of_evidence,consensus_pct,voting_round,meets_80pct_table_threshold
S3R#1,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,surgical_lp,The four extensions potentially determining vocal cord or arytenoid mobility impairment are associated with different management when surgery is indicated:,IV,97.5,first,True
S3R#2,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,surgical_lp,the mass effect determined by supraglottic cancers does not necessarily preclude type I or II open partial horizontal laryngectomy,IV,97.5,first,True
S3R#3,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,surgical_lp,inferior paraglottic space involvement with no other critical extensions could be treated with type II open partial horizontal laryngectomy extended to the ipsilateral arytenoid,IV,97.5,first,True
S3R#4,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,surgical_lp,"involvement of the cricoarytenoid joint could be managed with type III open partial horizontal laryngectomy extended to the ipsilateral CAU (in well selected patients and in centres with adequate experience) or total laryngectomy. If partial laryngectomy is planned, the patient should also give consent to a possible intraoperative conversion to total laryngectomy; or",IV,97.5,first,True
S3R#5,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,surgical_lp,involvement of the posterior cricoarytenoid muscle and hypopharyngeal mucosa or submucosa calls for total laryngectomy with partial hypopharyngectomy if surgery is indicated,IV,97.5,first,True
S3R#6,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,larynx_preservation_any,The four extensions potentially determining vocal cord or arytenoid mobility impairment are associated with different management when surgery is indicated:,IV,97.5,first,True
S3R#7,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,larynx_preservation_any,the mass effect determined by supraglottic cancers does not necessarily preclude type I or II open partial horizontal laryngectomy,IV,97.5,first,True
S3R#8,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,larynx_preservation_any,inferior paraglottic space involvement with no other critical extensions could be treated with type II open partial horizontal laryngectomy extended to the ipsilateral arytenoid,IV,97.5,first,True
S3R#9,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,larynx_preservation_any,"involvement of the cricoarytenoid joint could be managed with type III open partial horizontal laryngectomy extended to the ipsilateral CAU (in well selected patients and in centres with adequate experience) or total laryngectomy. If partial laryngectomy is planned, the patient should also give consent to a possible intraoperative conversion to total laryngectomy; or",IV,97.5,first,True
S3R#10,S3R,Investigations and general aspects,3,absolute_contraindication,negative,total_laryngectomy,larynx_preservation_any,involvement of the posterior cricoarytenoid muscle and hypopharyngeal mucosa or submucosa calls for total laryngectomy with partial hypopharyngectomy if surgery is indicated,IV,97.5,first,True
S3R#11,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,surgical_lp,The four extensions potentially determining vocal cord or arytenoid mobility impairment are associated with different management when surgery is indicated:,IV,97.5,first,True
S3R#12,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,surgical_lp,the mass effect determined by supraglottic cancers does not necessarily preclude type I or II open partial horizontal laryngectomy,IV,97.5,first,True
S3R#13,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,surgical_lp,inferior paraglottic space involvement with no other critical extensions could be treated with type II open partial horizontal laryngectomy extended to the ipsilateral arytenoid,IV,97.5,first,True
S3R#14,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,surgical_lp,"involvement of the cricoarytenoid joint could be managed with type III open partial horizontal laryngectomy extended to the ipsilateral CAU (in well selected patients and in centres with adequate experience) or total laryngectomy. If partial laryngectomy is planned, the patient should also give consent to a possible intraoperative conversion to total laryngectomy; or",IV,97.5,first,True
S3R#15,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,surgical_lp,involvement of the posterior cricoarytenoid muscle and hypopharyngeal mucosa or submucosa calls for total laryngectomy with partial hypopharyngectomy if surgery is indicated,IV,97.5,first,True
S3R#16,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,larynx_preservation_any,The four extensions potentially determining vocal cord or arytenoid mobility impairment are associated with different management when surgery is indicated:,IV,97.5,first,True
S3R#17,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,larynx_preservation_any,the mass effect determined by supraglottic cancers does not necessarily preclude type I or II open partial horizontal laryngectomy,IV,97.5,first,True
S3R#18,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,larynx_preservation_any,inferior paraglottic space involvement with no other critical extensions could be treated with type II open partial horizontal laryngectomy extended to the ipsilateral arytenoid,IV,97.5,first,True
S3R#19,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,larynx_preservation_any,"involvement of the cricoarytenoid joint could be managed with type III open partial horizontal laryngectomy extended to the ipsilateral CAU (in well selected patients and in centres with adequate experience) or total laryngectomy. If partial laryngectomy is planned, the patient should also give consent to a possible intraoperative conversion to total laryngectomy; or",IV,97.5,first,True
