treatment,full_name,families_applicable,hard_blockers,soft_blockers,indications,contraindications_in_early,indications_when_cisplatin_blocked,irrelevant,mechanism
carboplatin_5fu,Carboplatin/5-fluorouracil,cisplatin_eligibility,,,,,True,,Carboplatin/5FU combination is an alternative concurrent regimen when high-dose cisplatin is contraindicated. Better renal safety profile than cisplatin.
cetuximab_concurrent,Cetuximab concurrent with RT,cisplatin_eligibility,,,,,True,renal_function,Cetuximab is a biologic alternative when platinum-based chemotherapy is contraindicated. Lower nephro/ototoxicity profile but less robust evidence for larynx preservation compared to cisplatin.
cisplatin_high_dose,High-dose cisplatin (100 mg/m2 q3w),cisplatin_eligibility,bone_marrow=grade_2_plus; cardiac_function=nyha_III_IV; comorbidity_burden=severe; diabetes=uncontrolled_insulin_dependent; hearing_status=grade_3_plus; hepatitis=uncontrolled; hiv_status=cd4_under_200_or_aids; liver_function=child_pugh_B_C; neuropathy=grade_2_plus; platinum_hypersensitivity=true; psychiatric_disorders=true; renal_function=under_50_ml_min,hearing_status=grade_1; hiv_status=cd4_200_350; renal_function=50_60_ml_min; social_support=impaired,,,False,"age, diabetes_controlled","High-dose cisplatin requires adequate renal function (CrCl >= 60 mL/min), absence of significant neuropathy (< grade 2), adequate hearing, and cardiac reserve. Each absolute contraindication independently blocks cisplatin. Relative contraindications (CrCl 50-60, grade 1 hearing loss, poor social support) do not independently block cisplatin but may prompt dose adjustment or monitoring."
concurrent_crt,Concurrent chemoradiotherapy (CRT),"glottic_cT3, supraglottic_cT3, hypopharyngeal, cT4a_selected, post_ict_response, elderly_frail, pretreatment_function",comorbidity_burden=severe; dna_repair_disorder=true,,t_stage=cT3|cT4a,t_stage=cT2,False,age,Concurrent CRT is a standard organ preservation approach for locally advanced laryngeal/hypopharyngeal cancer (T3-T4a). Not indicated for early glottic cancer (cT2N0) where RT alone provides equivalent outcomes without chemotherapy toxicity. Requires adequate organ function for cisplatin or alternative agent.
ict_rt,Induction chemotherapy followed by response-adapted treatment (ICT+RT),"glottic_cT3, supraglottic_cT3, hypopharyngeal, cT4a_selected, elderly_frail, pretreatment_function",comorbidity_burden=severe,,,,False,age,ICT followed by response assessment enables organ preservation in responders while identifying non-responders for early salvage laryngectomy. Indicated for locally advanced disease (T3-T4a) in patients fit for platinum-based chemotherapy.
ophl_type_i,Supraglottic laryngectomy (OPHL type I),supraglottic_cT3,baseline_laryngeal_function=dysfunctional; primary_site=glottic|hypopharyngeal,,,,False,"age, renal_function",OPHL type I is indicated for supraglottic tumors without glottic extension. Requires functional larynx and adequate pulmonary reserve for postoperative swallowing.
ophl_type_ii,Open partial horizontal laryngectomy type II (OPHL type II),"glottic_cT2, glottic_cT3, cT4a_selected, elderly_frail, pretreatment_function",arytenoid_mobility=bilateral_fixed; baseline_laryngeal_function=dysfunctional; cricoarytenoid_joint_invasion=true; posterior_laryngeal_involvement=bilateral_arytenoid; primary_site=hypopharyngeal; subglottic_extension=over_10mm,extralaryngeal_extension=significant; n_stage=cN2|cN3,,,False,"age, renal_function, diabetes, hearing_status","OPHL type II preserves at least one arytenoid unit. Bilateral arytenoid fixation, dysfunctional larynx, or extensive subglottic extension (>10mm) preclude this approach. Cricoarytenoid joint invasion eliminates the functional unit needed for reconstruction."
ophl_type_iib,OPHL type IIb (cricohyoidopexy),supraglottic_cT3,baseline_laryngeal_function=dysfunctional,,,,False,age,OPHL type IIb extends the type II resection to include the cricoid arch. Indicated when thyroid cartilage erosion prevents standard type II reconstruction.
ophl_type_iii,OPHL type III (tracheocricohyoidopexy),glottic_cT3,baseline_laryngeal_function=dysfunctional,,,,False,age,OPHL type III includes cricoid resection for tumors with subglottic extension >10mm or cricoarytenoid joint invasion. Requires at least one mobile arytenoid.
rt_accelerated,Accelerated or hyperfractionated radiotherapy,glottic_cT2,,,tumor_volume=high; unfavorable_ct2=true,,False,"age, laryngeal_exposure","Accelerated fractionation may benefit unfavorable cT2 glottic cancer (bulky tumors, anterior commissure involvement, subglottic extension) by reducing overall treatment time and tumor repopulation."
rt_alone,Radiotherapy alone (RT alone),"glottic_cT2, post_ict_response",dna_repair_disorder=true; previous_neck_rt=true,,ict_response=complete_response; t_stage=cT1|cT2,,False,"age, renal_function, laryngeal_exposure",RT alone is standard for early glottic cancer (cT1-T2N0) with equivalent oncologic outcomes to surgery. Also appropriate post-ICT when complete response achieved. RT is independent of surgical exposure factors.
tlm,Transoral laser microsurgery (TLM),"glottic_cT2, glottic_cT3, supraglottic_cT3, hypopharyngeal, elderly_frail, cT4a_selected",extralaryngeal_extension=significant|moderate; laryngeal_exposure=insufficient; magic_plane_crossing=true; neurological_function=impaired_grade1|impaired_grade2; posterior_laryngeal_involvement=bilateral_arytenoid; primary_site=hypopharyngeal; thyroid_cartilage_full_thickness=true; thyroid_cartilage_outer_cortex=true,anterior_commissure=present_difficult_exposure; posterior_paraglottic_space=true; pre_epiglottic_space=massive_not_abutting_membrane|massive_abutting_membrane; subglottic_extension=under_10mm_posterior|over_10mm; thyroid_cartilage_inner_cortex=focal; tumor_volume=high,,,False,"age, smoking_status, diabetes, renal_function, cardiac_function, hearing_status, frailty_status","TLM requires adequate laryngeal exposure (Cormack-Lehane grade I-II) for transoral instrument access. Tumor extent must be compatible with endoscopic resection margins. Paraglottic space invasion, cartilage involvement, and extralaryngeal extension progressively reduce feasibility of complete transoral resection."
tors,Transoral robotic surgery (TORS),supraglottic_cT3,laryngeal_exposure=insufficient; primary_site=hypopharyngeal,,,,False,"age, renal_function",TORS provides similar access to TLM for supraglottic tumors with adequate exposure. Feasibility depends on robotic instrument reach and tumor accessibility.
total_laryngectomy,Total laryngectomy (TL),"glottic_cT3, hypopharyngeal, cT4a_unselected, cT4a_selected, post_ict_response, pretreatment_function",,,baseline_laryngeal_function=dysfunctional; swallowing_status=recurrent_pneumonia; t_stage=cT4a|cT4b,t_stage=cT2,False,"age, renal_function, hearing_status","Total laryngectomy is indicated when organ preservation is not feasible: unresectable T4 disease, dysfunctional larynx with aspiration, or failure of non-surgical approaches. In early disease (cT2-T3), TL is overtreatment when larynx preservation options exist."
