edge_id,item_id,baseline_id,family,type,label,variables_changed,expected_recommendations,expected_excluded,grey_zone_statement
S5R,A1-P1,A1-BASE,glottic_cT2,flip,Laryngeal exposure insufficient,laryngeal_exposure: adequate -> insufficient,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_alone, surgical_lp",tlm,
S22,A1-P1,A1-BASE,glottic_cT2,flip,Laryngeal exposure insufficient,laryngeal_exposure: adequate -> insufficient,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_alone, surgical_lp",tlm,
S23R,A1-P2,A1-BASE,glottic_cT3,escalate,Vocal cord fixed → upstages to cT3 (STAGING PROPAGATION),vocal_cord_mobility: partially_impaired -> fixed; t_stage: cT2 -> cT3,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,
S4R,A1-P2,A1-BASE,glottic_cT3,escalate,Vocal cord fixed → upstages to cT3 (STAGING PROPAGATION),vocal_cord_mobility: partially_impaired -> fixed; t_stage: cT2 -> cT3,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,
S28,A1-P2,A1-BASE,glottic_cT3,escalate,Vocal cord fixed → upstages to cT3 (STAGING PROPAGATION),vocal_cord_mobility: partially_impaired -> fixed; t_stage: cT2 -> cT3,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,
SA2,A1-P3,A1-BASE,glottic_cT2,flip,Add unfavorable cT2 features without fixation (SA2),unfavorable_ct2: false -> true; tumor_volume: low -> high; anterior_commissure: none -> present_good_exposure; subglottic_extension: none -> under_10mm_anterior,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,
S23R,A1-P3,A1-BASE,glottic_cT2,flip,Add unfavorable cT2 features without fixation (SA2),unfavorable_ct2: false -> true; tumor_volume: low -> high; anterior_commissure: none -> present_good_exposure; subglottic_extension: none -> under_10mm_anterior,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,
S8,A1-P3,A1-BASE,glottic_cT2,flip,Add unfavorable cT2 features without fixation (SA2),unfavorable_ct2: false -> true; tumor_volume: low -> high; anterior_commissure: none -> present_good_exposure; subglottic_extension: none -> under_10mm_anterior,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,
S6R,A1-NULL,A1-BASE,glottic_cT2,null,"Age 74, fit — should NOT change options",age: under_70 -> 70_plus,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_alone, surgical_lp, tlm","concurrent_crt, total_laryngectomy",
S80,A1-NULL,A1-BASE,glottic_cT2,null,"Age 74, fit — should NOT change options",age: under_70 -> 70_plus,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_alone, surgical_lp, tlm","concurrent_crt, total_laryngectomy",
