statement_id,kind,number_text,number_start,number_end,section,page_hint,level_of_evidence,consensus_pct,voting_round,meets_80pct_table_threshold,statement_class,graph_candidate,atomic_condition_count,mentioned_treatments,decision_scopes,statement_text
S1R,statement,1,1,1,Investigations and general aspects,3,III,98.4,second,True,non_decisional,False,1,,,"When CT, often used as first-level imaging, cannot clearly confirm or exclude cartilage involvement in patients with laryngeal squamous cell carcinoma, multiparametric MRI is the most accurate diagnostic method to assess this finding."
S2R,statement,2,2,2,Investigations and general aspects,3,IV,96.6,second,True,non_decisional,False,1,,,Arytenoid fixation in laryngeal cancers might be due to different causes that should be thoroughly investigated with imaging and endoscopy before planning partial surgery.
SA1,additional_statement,1,1,1,Investigations and general aspects,3,IV,98.2,second,True,non_decisional,False,1,,,"When CT cannot clearly confirm or exclude involvement of the posterior portion of the inferior paraglottic space (also referred to as the thyrocricoarytenoid space) in patients with laryngeal squamous cell carcinoma determining vocal cord or arytenoid mobility impairment, multiparametric MRI is the most accurate diagnostic method to assess this finding."
S3R,statement,3,3,3,Investigations and general aspects,3,IV,97.5,first,True,absolute_contraindication,True,5,"total_laryngectomy, ophl_any","surgical_lp, larynx_preservation_any","The four extensions potentially determining vocal cord or arytenoid mobility impairment are associated with different management when surgery is indicated: (1) the mass effect determined by supraglottic cancers does not necessarily preclude type I or II open partial horizontal laryngectomy; (2) inferior paraglottic space involvement with no other critical extensions could be treated with type II open partial horizontal laryngectomy extended to the ipsilateral arytenoid; (3) involvement of the cricoarytenoid joint could be managed with type III open partial horizontal laryngectomy extended to the ipsilateral CAU (in well selected patients and in centres with adequate experience) or total laryngectomy. If partial laryngectomy is planned, the patient should also give consent to a possible intraoperative conversion to total laryngectomy; or (4) involvement of the posterior cricoarytenoid muscle and hypopharyngeal mucosa or submucosa calls for total laryngectomy with partial hypopharyngectomy if surgery is indicated."
S4R,statement,4,4,4,Investigations and general aspects,3,IV,97.5,first,True,contextual_selection,True,1,tlm,"surgical_lp, larynx_preservation_any",Endoscopic evidence of impaired vocal cord mobility has a negative effect on local control with both radiotherapy and transoral laser microsurgery.
SA2,additional_statement,2,2,2,Investigations and general aspects,3,V,87.5,second,True,selection_factor,True,1,,,"Some unfavourable cT2 (eg, radiological invasion of intrinsic muscles, partially impaired vocal cord mobility, or bulky supraglottic component) laryngeal squamous cell carcinomas have outcomes that are more similar to cT3 tumours and might require more aggressive management than is normally given for cT2 tumours."
SA3,additional_statement,3,3,3,Investigations and general aspects,3,IV,98.5,second,True,contextual_selection,True,1,,larynx_preservation_any,"Larynx-preservation treatment, whether unimodal or multimodal, should be preferably performed in centres with a high volume of patients with laryngeal squamous cell carcinomas."
S5R,statement,5,5,5,Transoral surgery,3,III,100.0,first,True,absolute_contraindication,True,1,tlm,"surgical_lp, larynx_preservation_any","In transoral laser microsurgery, inadequate exposure is the primary factor preventing the achievement of negative margins. Exposure mostly depends on the patient’s anatomical characteristics, the surgeon’s expertise, and the availability of adequate equipment."
S6R,statement,6,6,6,Transoral surgery,3,IV,92.2,first,True,exception,True,1,tlm,"surgical_lp, larynx_preservation_any",Older age (>70 years) alone is not a contraindication for transoral laser microsurgery in patients with T3 laryngeal cancer without severe neurological or respiratory comorbidities.
S7R,statement,7,7,7,Transoral surgery,3,IV-V,100.0,second,True,absolute_contraindication,True,6,tlm,"surgical_lp, larynx_preservation_any",The following extensions are absolute contraindications for transoral laser microsurgery in T3 laryngeal cancer: posterior laryngeal involvement requiring bilateral arytenoid resection (LoE: V); inner cortical infiltration (even if focal) of the thyroid cartilage (LoE: IV); posterior paraglottic involvement (LoE: IV); anterior commissure involvement with difficult exposure (LoE: IV); extensive supraglottic tumours with massive infiltration of the pre-epiglottic space (LoE: V); and subglottic extension under 10 mm in the posterior part of the glottis (LoE: IV).
