edge_id,families,example_items,rule_labels,gold_recommendations,gold_exclusions,kimi-k2.5_hard_detected,kimi-k2.5_soft_detected,kimi-k2.5_direction_correct,kimi-k2.5_mean_jsd,deepseek-r1_hard_detected,deepseek-r1_soft_detected,deepseek-r1_direction_correct,deepseek-r1_mean_jsd,gemma-4-31b-it_hard_detected,gemma-4-31b-it_soft_detected,gemma-4-31b-it_direction_correct,gemma-4-31b-it_mean_jsd,qwen3-next-80b-instruct_hard_detected,qwen3-next-80b-instruct_soft_detected,qwen3-next-80b-instruct_direction_correct,qwen3-next-80b-instruct_mean_jsd,mistral-small-24b_hard_detected,mistral-small-24b_soft_detected,mistral-small-24b_direction_correct,mistral-small-24b_mean_jsd,llama-3.1-8b_hard_detected,llama-3.1-8b_soft_detected,llama-3.1-8b_direction_correct,llama-3.1-8b_mean_jsd
S10R,glottic_cT3; supraglottic_cT3,C1-P1; C1-P2; C1-P3,Change site to glottic + keep TC erosion (SITE CROSSOVER) | PES + TC erosion → OPHL-IIB (SITE-CONDITIONAL) | PES pronounced → OPHL type I preferred,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_i, ophl_type_ii, ophl_type_iib, surgical_lp",tlm,False,False,True,0.144873,False,False,True,0.106683,False,False,True,0.080528,False,False,True,0.052439,False,False,True,0.089404,False,False,True,0.080635
S111R,elderly_frail,I1-P1,"Frail → OPHL relative CI, adapted approach","concurrent_crt, nonsurgical_lp, rt_alone, total_laryngectomy",,False,True,False,0.261927,False,True,False,0.19629,True,True,False,0.420178,False,True,False,0.10087,False,True,False,0.11972,False,False,True,0.020314
S112,supraglottic_cT3,C1-P5,Site → hypopharyngeal (SITE-CONDITIONAL),"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",tlm,False,True,True,0.232989,False,True,True,0.136554,False,False,True,0.077875,False,False,True,0.095267,False,False,True,0.159078,False,False,True,0.021432
S115,hypopharyngeal; pretreatment_function,D1-P3; J1-P1; J1-P5,Add tracheostomy | Tracheostomy + feeding tube + aspiration → convergent CIs | Tracheostomy required → relative CI,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,False,False,True,0.081619,False,False,True,0.068606,False,False,True,0.050572,False,False,False,0.107795,False,False,False,0.050629,False,False,True,0.037092
S116,post_ict_response,H1-P1,PR ≥50% — shifts from RT alone to CRT,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",False,True,True,0.315486,False,False,True,0.141728,False,True,True,0.315955,False,False,False,0.02368,False,False,True,0.063085,False,False,True,0.091499
S119R,post_ict_response,H1-P1; H2-NULL,PR ≥50% — shifts from RT alone to CRT | VC remobilization (improves prognosis but doesn't change eligibility),"concurrent_crt, nonsurgical_lp, total_laryngectomy","rt_alone, total_laryngectomy",False,True,True,0.179156,False,False,True,0.09848,False,True,True,0.245493,False,False,False,0.121424,False,False,True,0.074007,False,False,True,0.104375
S12,cT4a_selected; hypopharyngeal; supraglottic_cT3,C1-P5; D1-P1; F1-P5,Site → glottic (SITE CROSSOVER) | Site → hypopharyngeal | Site → hypopharyngeal (SITE-CONDITIONAL),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, total_laryngectomy",tlm,False,True,True,0.118072,False,True,True,0.077264,False,False,True,0.056016,False,False,True,0.098571,False,False,True,0.054504,False,False,True,0.035216
S120R,post_ict_response,H1-P1,PR ≥50% — shifts from RT alone to CRT,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",False,True,True,0.315486,False,False,True,0.141728,False,True,True,0.315955,False,False,False,0.02368,False,False,True,0.063085,False,False,True,0.091499
S121R,post_ict_response,H1-P2; H1-P3; H2-P1,PR <50% — GREY ZONE (SA6) | Response → stable disease | Stable disease → TL preferred,"concurrent_crt, nonsurgical_lp, total_laryngectomy",rt_alone,True,True,True,0.454856,True,True,True,0.444748,False,True,True,0.324094,False,False,True,0.122942,False,False,True,0.150228,False,False,True,0.16025
S129,post_ict_response,H1-P4,Progression → TL clearly indicated,total_laryngectomy,rt_alone,True,True,True,0.693147,False,True,True,0.483753,True,True,True,0.505008,False,True,False,0.693147,False,True,True,0.347696,False,True,False,0.257178
S13,elderly_frail,I1-P2; I1-P3,Add neurodegenerative disease | Frail + cT4a + precludes OPHL/chemo → TL preferred,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, total_laryngectomy",tlm,False,True,False,0.114745,False,True,False,0.172292,False,True,True,0.066385,False,False,True,0.067708,False,True,True,0.167635,False,False,True,0.096119
